종목코드,종목명
196170,알테오젠
247540,에코프로비엠
028300,HLB
086520,에코프로
277810,레인보우로보틱스
087010,펩트론
145020,휴젤
214450,파마리서치
214150,클래시스
141080,리가켐바이오
000250,삼천당제약
298380,에이비엘바이오
058470,리노공업
041510,에스엠
035900,JYP Ent.
263750,펄어비스
257720,실리콘투
068760,셀트리온제약
403870,HPSP
310210,보로노이
214370,케어젠
036930,주성엔지니어링
065350,신성델타테크
039030,이오테크닉스
096530,씨젠
140860,파크시스템스
007390,네이처셀
005290,동진쎄미켐
237690,에스티팜
082270,젬백스
018290,브이티
328130,루닛
357780,솔브레인
348370,엔켐
122870,와이지엔터테인먼트
089030,테크윙
253450,스튜디오드래곤
178320,서진시스템
086900,메디톡스
035760,CJ ENM
140410,메지온
078600,대주전자재료
098460,고영
293490,카카오게임즈
042000,카페24
195940,HK이노엔
240810,원익IPS
064760,티씨케이
095340,ISC
376300,디어유
358570,지아이이노베이션
039200,오스코텍
067160,SOOP
137400,피엔티
225570,넥슨게임즈
204270,제이앤티씨
112040,위메이드
281740,레이크머티리얼즈
336570,원텍
232140,와이씨
213420,덕산네오룩스
101490,에스앤에스텍
056190,에스에프에이
003380,하림지주
417200,LS머트리얼즈
084370,유진테크
031980,피에스케이홀딩스
086450,동국제약
067310,하나마이크론
053800,안랩
036830,솔브레인홀딩스
058970,엠로
121600,나노신소재
115450,HLB테라퓨틱스
085660,차바이오텍
025980,아난티
183300,코미코
166090,하나머티리얼즈
041190,우리기술투자
348210,넥스틴
058610,에스피지
215200,메가스터디교육
025320,시노펙스
053030,바이넥스
222080,씨아이에스
383310,에코프로에이치엔
319660,피에스케이
222800,심텍
030520,한글과컴퓨터
290650,엘앤씨바이오
095660,네오위즈
036540,SFA반도체
033100,제룡전기
032190,다우데이타
131290,티에스이
048410,현대바이오
009520,포스코엠텍
069080,웹젠
399720,가온칩스
131970,두산테스나
272290,이녹스첨단소재
078340,컴투스
074600,원익QnC
241710,코스메카코리아
099190,아이센스
080220,제주반도체
015750,성우하이텍
194480,데브시스터즈
095610,테스
025900,동화기업
064550,바이오니아
365340,성일하이텍
218410,RFHIC
253590,네오셈
189300,인텔리안테크
006730,서부T&D
036810,에프에스티
101360,에코앤드림
317330,덕산테코피아
200130,콜마비앤에이치
215000,골프존
179900,유티아이
060280,큐렉소
046890,서울반도체
091700,파트론
352480,씨앤씨인터내셔널
108860,셀바스AI
094360,칩스앤미디어
032500,케이엠더블유
278280,천보
171090,선익시스템
068240,다원시스
420770,기가비스
114840,아이패밀리에스씨
144510,지씨셀
060250,NHN KCP
084850,아이티엠반도체
418550,제이오
267980,매일유업
049070,인탑스
394280,오픈엣지테크놀로지
393890,더블유씨피
053610,프로텍
035600,KG이니시스
372170,윤성에프앤씨
095500,미래나노텍
118990,모트렉스
091120,이엠텍
033640,네패스
425040,티이엠씨
